Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
7460.0,-0.003,0.004,0.993,-3.26,0.6,1.27
7480.0,0.000,0.001,0.998,-3.26,1.01,1.08
7500.0,0.003,0.001,1.004,-3.37,0.88,0.93
7520.0,0.000,0.005,1.000,-3.83,1.07,0.9
7540.0,0.002,0.000,0.997,-3.34,1.03,0.97
7560.0,0.001,-0.004,1.006,-3.52,0.63,1.16
7580.0,0.001,-0.007,0.996,-3.12,0.59,0.94
7600.0,-0.001,0.000,1.002,-3.17,1.12,1.05
7620.0,-0.003,0.002,1.002,-3.18,0.9,0.96
7640.0,-0.006,0.003,0.998,-3.17,0.91,0.97
7660.0,-0.002,0.007,0.996,-3.36,0.58,1.04
7680.0,-0.002,0.002,0.999,-3.39,1.07,1.25
7700.0,-0.000,0.003,1.001,-3.32,0.75,0.75
7720.0,-0.001,0.000,1.001,-3.53,0.55,1.01
7740.0,-0.002,-0.001,1.003,-3.4,0.79,0.85
7760.0,-0.005,0.003,0.998,-3.1,0.94,0.95
7780.0,-0.002,0.003,0.997,-3.3,1.31,1.2
7800.0,-0.001,-0.001,1.002,-3.42,0.94,1.21
7820.0,0.003,-0.000,1.001,-3.28,0.85,1.12
7840.0,-0.008,0.006,1.003,-3.25,0.8,0.8
7860.0,0.003,-0.001,1.000,-3.43,1.06,0.99
7880.0,-0.003,0.002,0.996,-3.48,0.88,1.08
7900.0,-0.002,0.002,1.002,-3.39,0.91,0.88
7920.0,-0.006,0.004,1.002,-3.09,0.64,1.04
7940.0,0.003,0.002,1.001,-3.33,0.88,1.03
7960.0,0.001,-0.003,0.996,-3.47,0.86,1.01
7980.0,0.003,-0.004,0.995,-3.27,1.17,1.14
8000.0,0.004,0.001,0.996,-3.3,0.76,0.94
8020.0,-0.001,0.003,0.999,-3.3,0.6,1.19
8040.0,-0.001,-0.001,1.005,-3.11,0.92,1.15
8060.0,0.001,-0.003,1.005,-3.07,0.88,1.23
8080.0,-0.004,-0.005,0.999,-3.2,1.01,0.98
8100.0,0.001,-0.005,1.001,-3.3,1.07,0.95
8120.0,0.004,0.004,1.003,-3.27,1.1,1.18
8140.0,0.002,-0.007,0.998,-3.37,0.72,0.89
8160.0,-0.001,-0.005,1.005,-3.49,1.41,1.24
8180.0,-0.002,0.010,1.004,-3.26,0.79,0.98
8200.0,0.000,0.001,0.993,-3.45,0.77,1.07
8220.0,-0.005,0.002,1.000,-3.33,0.94,1.03
8240.0,-0.002,-0.007,0.998,-3.5,0.72,1.05
8260.0,-0.002,0.003,0.999,-3.3,0.9,0.95
8280.0,0.007,0.003,0.994,-3.52,0.91,1.34
8300.0,0.003,-0.002,0.993,-3.2,0.69,1.02
8320.0,0.003,-0.003,0.995,-3.3,0.95,1.26
8340.0,-0.005,0.002,1.003,-3.28,1.05,1.01
8360.0,-0.007,0.006,1.002,-3.49,0.85,1.07
8380.0,-0.004,0.003,1.007,-3.39,1.0,1.04
8400.0,-0.002,-0.001,1.005,-3.38,0.99,1.13
8420.0,0.001,-0.003,0.993,-3.7,1.01,0.88
8440.0,0.003,0.003,1.001,-3.49,1.17,1.13
8460.0,-0.009,0.003,0.999,-3.58,0.87,1.37
8480.0,-0.005,-0.001,1.001,-3.45,0.76,1.04
8500.0,-0.006,-0.004,1.006,-3.7,0.92,1.0
8520.0,0.002,0.001,1.002,-3.39,0.73,0.95
8540.0,0.005,0.006,0.988,-3.28,1.17,1.1
8560.0,-0.001,-0.001,0.996,-3.2,0.9,0.95
8580.0,0.001,-0.001,1.001,-3.3,0.77,1.01
8600.0,-0.003,0.003,0.998,-3.37,0.95,0.98
8620.0,0.002,0.001,1.001,-3.59,0.69,0.94
8640.0,0.002,0.000,1.002,-3.36,1.07,1.09
8660.0,-0.001,0.002,1.001,-3.36,1.0,1.35
8680.0,0.000,0.001,1.007,-3.07,1.1,0.77
8700.0,-0.000,-0.003,0.994,-3.52,1.01,1.03
8720.0,0.001,-0.003,1.005,-3.39,0.65,1.03
8740.0,-0.000,-0.001,1.000,-3.53,0.96,1.08
8760.0,0.002,-0.002,1.003,-3.14,0.81,1.14
8780.0,-0.004,-0.001,1.001,-3.16,0.96,0.95
8800.0,-0.006,0.001,0.997,-3.34,0.79,1.04
8820.0,-0.006,0.005,0.999,-3.13,1.04,0.92
8840.0,-0.002,-0.002,1.001,-3.39,1.15,0.92
8860.0,-0.001,-0.003,1.006,-3.24,1.08,1.17
8880.0,-0.001,0.002,1.002,-3.39,0.64,0.75
8900.0,-0.001,-0.002,1.000,-3.48,0.88,1.04
8920.0,-0.004,-0.000,0.999,-3.01,0.85,0.91
8940.0,-0.000,-0.001,0.997,-3.38,0.88,1.07
